org_name.nih,org_city.nih,org_state.nih,lat.nih,lon.nih,org_name.nsf,org_city.nsf,org_state.nsf,lat.nsf,lon.nsf,org_name,org_city,org_state,lat,lon
Emma Pendleton Bradley Hospital,Riverside,RI,41.79238,-71.3674,NA,NA,NA,NA,NA,Emma Pendleton Bradley Hospital,Riverside,RI,41.79238,-71.3674
Emory University,Atlanta,GA,33.79125,-84.3249,Emory University,Atlanta,GA,33.79125,-84.3249,Emory University,Atlanta,GA,33.79125,-84.3249
Endeavor Health Clinical Operations,Evanston,IL,42.0647,-87.68987,NA,NA,NA,NA,NA,Endeavor Health Clinical Operations,Evanston,IL,42.0647,-87.68987
Endocrine Society,Washington,DC,38.90411,-77.04616,NA,NA,NA,NA,NA,Endocrine Society,Washington,DC,38.90411,-77.04616
"Equiti Foods, LLC",Chapel Hill,NC,35.90131,-79.06105,NA,NA,NA,NA,NA,"Equiti Foods, LLC",Chapel Hill,NC,35.90131,-79.06105
NA,NA,NA,NA,NA,Eureka Scientific Inc.,Oakland,CA,37.8037076,-122.2084588,Eureka Scientific Inc.,Oakland,CA,37.8037076,-122.2084588
NA,NA,NA,NA,NA,Exploratorium,San Francisco,CA,37.8016739,-122.399135,Exploratorium,San Francisco,CA,37.8016739,-122.399135
"Families Against Narcotics, Inc.",Clinton Twp,MI,42.55372,-82.92816,NA,NA,NA,NA,NA,"Families Against Narcotics, Inc.",Clinton Twp,MI,42.55372,-82.92816
Family Health International,Durham,NC,35.99283,-78.90391,Family Health International,Durham,NC,35.99283,-78.90391,Family Health International,Durham,NC,35.99283,-78.90391
Father Flanagan's Boys' Home,Boys Town,NE,41.25345,-96.13386,NA,NA,NA,NA,NA,Father Flanagan's Boys' Home,Boys Town,NE,41.25345,-96.13386
Fayetteville State University,Fayetteville,NC,35.07155,-78.89445,NA,NA,NA,NA,NA,Fayetteville State University,Fayetteville,NC,35.07155,-78.89445
NA,NA,NA,NA,NA,Federation of American Societies for Experimental Biology,Rockville,MD,39.047715,-77.1273868,Federation of American Societies for Experimental Biology,Rockville,MD,39.047715,-77.1273868
Fenway Community Health Center,Boston,MA,42.34412,-71.09841,NA,NA,NA,NA,NA,Fenway Community Health Center,Boston,MA,42.34412,-71.09841
Feonix - Mobility Rising,Lincoln,NE,40.85914,-96.72561,NA,NA,NA,NA,NA,Feonix - Mobility Rising,Lincoln,NE,40.85914,-96.72561
NA,NA,NA,NA,NA,Fielding Graduate University,Santa Barbara,CA,34.4294143,-119.7172578,Fielding Graduate University,Santa Barbara,CA,34.4294143,-119.7172578
NA,NA,NA,NA,NA,Fisk University,Nashville,TN,36.1670376,-86.8032583,Fisk University,Nashville,TN,36.1670376,-86.8032583
NA,NA,NA,NA,NA,Florida Atlantic University,Boca Raton,FL,26.3683141,-80.101765,Florida Atlantic University,Boca Raton,FL,26.3683141,-80.101765
NA,NA,NA,NA,NA,Florida Gulf Coast University,Fort Myers,FL,26.4590966,-81.7736874,Florida Gulf Coast University,Fort Myers,FL,26.4590966,-81.7736874
Florida International University,Miami,FL,25.76105,-80.3762,Florida International University,Miami,FL,25.76105,-80.3762,Florida International University,Miami,FL,25.76105,-80.3762
Florida State University,Tallahassee,FL,30.44146,-84.29789,Florida State University,Tallahassee,FL,30.44146,-84.29789,Florida State University,Tallahassee,FL,30.44146,-84.29789
Fort Lewis College,Durango,CO,37.27498,-107.87204,NA,NA,NA,NA,NA,Fort Lewis College,Durango,CO,37.27498,-107.87204
NA,NA,NA,NA,NA,Fort Valley State University,Fort Valley,GA,32.5343243,-83.8993342,Fort Valley State University,Fort Valley,GA,32.5343243,-83.8993342
NA,NA,NA,NA,NA,Framingham State University,Framingham,MA,42.298308,-71.4370588,Framingham State University,Framingham,MA,42.298308,-71.4370588
NA,NA,NA,NA,NA,Franklin and Marshall College,Lancaster,PA,40.0489427,-76.3186806,Franklin and Marshall College,Lancaster,PA,40.0489427,-76.3186806
Fred Hutchinson Cancer Center,Seattle,WA,47.62648,-122.32961,NA,NA,NA,NA,NA,Fred Hutchinson Cancer Center,Seattle,WA,47.62648,-122.32961
"Friends Research Institute, Inc.",Baltimore,MD,39.30368,-76.61989,NA,NA,NA,NA,NA,"Friends Research Institute, Inc.",Baltimore,MD,39.30368,-76.61989
"Function Promoting Therapies, LLC",Boston,MA,42.33724,-71.10217,NA,NA,NA,NA,NA,"Function Promoting Therapies, LLC",Boston,MA,42.33724,-71.10217
NA,NA,NA,NA,NA,Future Earth,Fort Collins,CO,40.5246934,-105.0837301,Future Earth,Fort Collins,CO,40.5246934,-105.0837301
NA,NA,NA,NA,NA,"Gpra Strategic Management, Inc..",White Plains,MD,38.6165699,-77.030061,"GPRA Strategic Management, Inc.",White Plains,MD,38.6165699,-77.030061
NA,NA,NA,NA,NA,Galveston College,Galveston,TX,29.2841446,-94.8083286,Galveston College,Galveston,TX,29.2841446,-94.8083286
"Genendeavor, LLC",Hayward,CA,37.52099,-121.94829,NA,NA,NA,NA,NA,"Genendeavor, LLC",Hayward,CA,37.52099,-121.94829
Genetobe Inc.,Ann Arbor,MI,42.32232,-83.65208,NA,NA,NA,NA,NA,Genetobe Inc.,Ann Arbor,MI,42.32232,-83.65208
NA,NA,NA,NA,NA,George Mason University,Fairfax,VA,38.8338752,-77.3160194,George Mason University,Fairfax,VA,38.8338752,-77.3160194
George Washington University,Washington,DC,38.89808,-77.04393,George Washington University,Washington,DC,38.89808,-77.04393,George Washington University,Washington,DC,38.89808,-77.04393
Georgetown University,Washington,DC,38.90521,-77.07547,Georgetown University,Washington,DC,38.90521,-77.07547,Georgetown University,Washington,DC,38.90521,-77.07547
NA,NA,NA,NA,NA,Georgia Gwinnett College,Lawrenceville,GA,33.9802966,-84.0047709,Georgia Gwinnett College,Lawrenceville,GA,33.9802966,-84.0047709
Georgia Institute of Technology,Atlanta,GA,33.7819,-84.40401,Georgia Institute of Technology,Atlanta,GA,33.7819,-84.40401,Georgia Institute of Technology,Atlanta,GA,33.7819,-84.40401
Georgia Institute of Technology,Atlanta,GA,33.7819,-84.40401,NA,NA,NA,NA,NA,Georgia Institute of Technology,Atlanta,GA,33.7819,-84.40401
NA,NA,NA,NA,NA,Georgia Tech Applied Research Corporation,Atlanta,GA,33.7798507,-84.4001634,Georgia Institute of Technology,Atlanta,GA,33.7819,-84.40401
NA,NA,NA,NA,NA,Georgia Tech Research Corporation,Atlanta,GA,33.7798507,-84.4001634,Georgia Institute of Technology,Atlanta,GA,33.7819,-84.40401
NA,NA,NA,NA,NA,Georgia Piedmont Technical College,Clarkston,GA,33.790053,-84.2347949,Georgia Piedmont Technical College,Clarkston,GA,33.790053,-84.2347949
Georgia State University,Atlanta,GA,33.75353,-84.38448,"Georgia State University Research Foundation, Inc..",Atlanta,GA,33.7547395,-84.387099,Georgia State University,Atlanta,GA,33.75353,-84.38448
Gladstone Institutes,San Francisco,CA,37.76762,-122.39432,NA,NA,NA,NA,NA,Gladstone Institutes,San Francisco,CA,37.76762,-122.39432
NA,NA,NA,NA,NA,Global Fund for Women Inc.,San Francisco,CA,37.7939112,-122.4033221,Global Fund for Women Inc.,San Francisco,CA,37.7939112,-122.4033221
Gordon Research Conferences,East Greenwich,RI,41.48,-71.56965,Gordon Research Conferences,East Greenwich,RI,41.48,-71.56965,Gordon Research Conferences,East Greenwich,RI,41.48,-71.56965
NA,NA,NA,NA,NA,"Granted Advisors, LLC",New Orleans,LA,30.0157381,-90.0422965,"Granted Advisors, LLC",New Orleans,LA,30.0157381,-90.0422965
NA,NA,NA,NA,NA,Greater Washington Educational Telecommunications Association,Arlington,VA,38.8414883,-77.086215,Greater Washington Educational Telecommunications Association,Arlington,VA,38.8414883,-77.086215
Hackensack University Medical Center,Hackensack,NJ,40.88342,-74.05565,NA,NA,NA,NA,NA,Hackensack University Medical Center,Hackensack,NJ,40.88342,-74.05565
NA,NA,NA,NA,NA,Hamilton College,Clinton,NY,43.0499446,-75.4059969,Hamilton College,Clinton,NY,43.0499446,-75.4059969
NA,NA,NA,NA,NA,Harris-Stowe State University,Saint Louis,MO,38.6318531,-90.2239475,Harris-Stowe State University,Saint Louis,MO,38.6318531,-90.2239475
Hartford Hospital,Hartford,CT,41.75412,-72.67985,NA,NA,NA,NA,NA,Hartford Hospital,Hartford,CT,41.75412,-72.67985
"Harvard Pilgrim Health Care, Inc.",Canton,MA,42.31681,-71.2346,NA,NA,NA,NA,NA,"Harvard Pilgrim Health Care, Inc.",Canton,MA,42.31681,-71.2346
Harvard University,Cambridge,MA,42.3697,-71.11193,Harvard University,Cambridge,MA,42.3697,-71.11193,Harvard University,Cambridge,MA,42.3697,-71.11193
Harvard University,Boston,MA,42.33531,-71.10277,NA,NA,NA,NA,NA,Harvard University,Cambridge,MA,42.3697,-71.11193
Harvard University,Boston,MA,42.33567,-71.10424,NA,NA,NA,NA,NA,Harvard University,Cambridge,MA,42.3697,-71.11193
NA,NA,NA,NA,NA,Haverford College,Haverford,PA,40.007498,-75.305189,Haverford College,Haverford,PA,40.007498,-75.305189
NA,NA,NA,NA,NA,Hawaii Pacific University,Honolulu,HI,21.3065617,-157.8655946,Hawaii Pacific University,Honolulu,HI,21.3065617,-157.8655946
"Health Choice Network, Inc.",Miami,FL,25.78484,-80.34186,NA,NA,NA,NA,NA,"Health Choice Network, Inc.",Miami,FL,25.78484,-80.34186
Healthpartners Institute,Bloomington,MN,44.85364,-93.22558,Healthpartners Institute,Bloomington,MN,44.85364,-93.22558,Healthpartners Institute,Bloomington,MN,44.85364,-93.22558
Healthpartners Institute,Bloomington,MN,44.85364,-93.22558,Healthpartners Institute,Minneapolis,MN,44.8556156,-93.2278842,Healthpartners Institute,Bloomington,MN,44.85364,-93.22558
Healthy Tarrant County Collaboration,Fort Worth,TX,32.76545,-97.25287,NA,NA,NA,NA,NA,Healthy Tarrant County Collaboration,Fort Worth,TX,32.76545,-97.25287
Hebrew Rehabilitation Center for Aged,Boston,MA,42.29668,-71.13073,NA,NA,NA,NA,NA,Hebrew Rehabilitation Center for Aged,Boston,MA,42.29668,-71.13073
Herbert H. Lehman College,New York,NY,40.87086,-73.8866,NA,NA,NA,NA,NA,Herbert H. Lehman College,New York,NY,40.87086,-73.8866
NA,NA,NA,NA,NA,Heritage University,Toppenish,WA,46.3742327,-120.3943117,Heritage University,Toppenish,WA,46.3742327,-120.3943117
NA,NA,NA,NA,NA,Hinds Community College-Utica,Raymond,MS,32.2576095,-90.4184093,Hinds Community College-Utica,Raymond,MS,32.2576095,-90.4184093
NA,NA,NA,NA,NA,Hofstra University,Hempstead,NY,40.7168988,-73.5990378,Hofstra University,Hempstead,NY,40.7168988,-73.5990378
Hopa Mountain,Bozeman,MT,45.67802,-111.03301,NA,NA,NA,NA,NA,Hopa Mountain,Bozeman,MT,45.67802,-111.03301
NA,NA,NA,NA,NA,Horizon Research Inc.,Chapel Hill,NC,35.91163,-78.9773494,Horizon Research Inc.,Chapel Hill,NC,35.91163,-78.9773494
Hospital for Special Surgery,New York,NY,40.76532,-73.95395,NA,NA,NA,NA,NA,Hospital for Special Surgery,New York,NY,40.76532,-73.95395
NA,NA,NA,NA,NA,Housatonic Community College,Bridgeport,CT,41.1751236,-73.1906146,Housatonic Community College,Bridgeport,CT,41.1751236,-73.1906146
Housing Authority of the City of Los Angeles,Los Angeles,CA,34.06041,-118.28167,NA,NA,NA,NA,NA,Housing Authority of the City of Los Angeles,Los Angeles,CA,34.06041,-118.28167
NA,NA,NA,NA,NA,Houston Christian University,Houston,TX,29.6949384,-95.5153952,Houston Christian University,Houston,TX,29.6949384,-95.5153952
Howard University,Washington,DC,38.92314,-77.02158,Howard University,Washington,DC,38.92314,-77.02158,Howard University,Washington,DC,38.92314,-77.02158
NA,NA,NA,NA,NA,Hudson County Community College,Jersey City,NJ,40.7304905,-74.0637336,Hudson County Community College,Jersey City,NJ,40.7304905,-74.0637336
Hugo W. Moser Research Institute Kennedy Krieger,Baltimore,MD,39.2987,-76.59368,NA,NA,NA,NA,NA,Hugo W. Moser Research Institute Kennedy Krieger,Baltimore,MD,39.2987,-76.59368
Hunter College,New York,NY,40.76874,-73.96518,NA,NA,NA,NA,NA,Hunter College,New York,NY,40.76874,-73.96518
NA,NA,NA,NA,NA,"Iseechange, Inc..",New Orleans,LA,30.0033395,-90.0844408,"ISeeChange, Inc.",New Orleans,LA,30.0033395,-90.0844408
Ibis Reproductive Health,Cambridge,MA,42.37281,-71.1191,NA,NA,NA,NA,NA,Ibis Reproductive Health,Cambridge,MA,42.37281,-71.1191
Icahn School of Medicine at Mount Sinai,New York,NY,40.79028,-73.94678,NA,NA,NA,NA,NA,Icahn School of Medicine at Mount Sinai,New York,NY,40.79028,-73.94678
Illinois Institute of Technology,Chicago,IL,41.83106,-87.62905,Illinois Institute of Technology,Chicago,IL,41.83106,-87.62905,Illinois Institute of Technology,Chicago,IL,41.83106,-87.62905
NA,NA,NA,NA,NA,Ina Solutions Inc..,Fairfax,VA,38.8818709,-77.3712998,Ina Solutions Inc.,Fairfax,VA,38.8818709,-77.3712998
NA,NA,NA,NA,NA,"Inclusive Engineering Consortium, Inc..",Wilmette,IL,42.0888884,-87.7021069,"Inclusive Engineering Consortium, Inc.",Wilmette,IL,42.0888884,-87.7021069
Indiana University,Bloomington,IN,39.17206,-86.52316,Indiana University,Bloomington,IN,39.17206,-86.52316,Indiana University,Bloomington,IN,39.17206,-86.52316
Indiana University Indianapolis,Indianapolis,IN,39.77921,-86.17529,NA,NA,NA,NA,NA,Indiana University Indianapolis,Indianapolis,IN,39.77921,-86.17529
NA,NA,NA,NA,NA,Indigenous Education Institute,Friday Harbor,WA,48.482805,-123.0384894,Indigenous Education Institute,Friday Harbor,WA,48.482805,-123.0384894
"Innovation Research and Training, Inc.",Durham,NC,35.96456,-78.94053,NA,NA,NA,NA,NA,"Innovation Research and Training, Inc.",Durham,NC,35.96456,-78.94053
NA,NA,NA,NA,NA,Institute for Advanced Study,Princeton,NJ,40.3326232,-74.667855,Institute for Advanced Study,Princeton,NJ,40.3326232,-74.667855
NA,NA,NA,NA,NA,Institute for Learning Innovation,Portland,OR,45.5641455,-122.6958894,Institute for Learning Innovation,Portland,OR,45.5641455,-122.6958894
NA,NA,NA,NA,NA,Institute for Native Pacific Education and Culture,Kapolei,HI,21.3189119,-158.0711861,Institute for Native Pacific Education and Culture,Kapolei,HI,21.3189119,-158.0711861
Institute for Systems Biology,Seattle,WA,47.62254,-122.33753,NA,NA,NA,NA,NA,Institute for Systems Biology,Seattle,WA,47.62254,-122.33753
NA,NA,NA,NA,NA,Iowa State University,Ames,IA,42.0261746,-93.6484405,Iowa State University,Ames,IA,42.0261746,-93.6484405
"Iris Media, Inc.",Eugene,OR,44.04872,-123.08848,NA,NA,NA,NA,NA,"Iris Media, Inc.",Eugene,OR,44.04872,-123.08848
"Isa Associates, Inc.",Arlington,VA,38.80541,-77.03984,NA,NA,NA,NA,NA,"Isa Associates, Inc.",Arlington,VA,38.80541,-77.03984
NA,NA,NA,NA,NA,Ithaca College,Ithaca,NY,42.4166791,-76.4990958,Ithaca College,Ithaca,NY,42.4166791,-76.4990958
Jackson Laboratory,Bar Harbor,ME,44.36536,-68.1963,NA,NA,NA,NA,NA,Jackson Laboratory,Bar Harbor,ME,44.36536,-68.1963
NA,NA,NA,NA,NA,Jackson State University,Jackson,MS,32.2979167,-90.2059305,Jackson State University,Jackson,MS,32.2979167,-90.2059305
NA,NA,NA,NA,NA,James Madison University,Harrisonburg,VA,38.4407623,-78.8722969,James Madison University,Harrisonburg,VA,38.4407623,-78.8722969
NA,NA,NA,NA,NA,Jarvis Christian College,Hawkins,TX,32.6163443,-95.3131718,Jarvis Christian College,Hawkins,TX,32.6163443,-95.3131718
NA,NA,NA,NA,NA,John Carroll University,Cleveland,OH,41.4905602,-81.5297689,John Carroll University,Cleveland,OH,41.4905602,-81.5297689
Johns Hopkins University,Baltimore,MD,39.32526,-76.60513,Johns Hopkins University,Baltimore,MD,39.32526,-76.60513,Johns Hopkins University,Baltimore,MD,39.32526,-76.60513
NA,NA,NA,NA,NA,Johnson C. Smith University,Charlotte,NC,35.2429463,-80.8557684,Johnson C. Smith University,Charlotte,NC,35.2429463,-80.8557684
NA,NA,NA,NA,NA,Juniata College,Huntingdon,PA,40.5001396,-78.0158977,Juniata College,Huntingdon,PA,40.5001396,-78.0158977
Kaiser Foundation Research Institute,Oakland,CA,37.80577,-122.26521,NA,NA,NA,NA,NA,Kaiser Foundation Research Institute,Oakland,CA,37.80577,-122.26521
NA,NA,NA,NA,NA,Kansas State University,Manhattan,KS,39.1878084,-96.580716,Kansas State University,Manhattan,KS,39.1878084,-96.580716
Kean University,Union,NJ,40.67958,-74.23188,Kean University,Union,NJ,40.67958,-74.23188,Kean University,Union,NJ,40.67958,-74.23188
Keck Graduate Institute of Applied Life Sciences,Claremont,CA,34.09248,-117.72201,NA,NA,NA,NA,NA,Keck Graduate Institute of Applied Life Sciences,Claremont,CA,34.09248,-117.72201
Kennesaw State University,Kennesaw,GA,34.03432,-84.57428,NA,NA,NA,NA,NA,Kennesaw State University,Kennesaw,GA,34.03432,-84.57428
Kent State University,Kent,OH,41.15242,-81.33788,Kent State University,Kent,OH,41.15242,-81.33788,Kent State University,Kent,OH,41.15242,-81.33788
NA,NA,NA,NA,NA,Kentucky Community & Technical College System,Versailles,KY,38.0586356,-84.7278824,Kentucky Community & Technical College System,Versailles,KY,38.0586356,-84.7278824
NA,NA,NA,NA,NA,Kutztown University,Kutztown,PA,40.5086643,-75.7832069,Kutztown University,Kutztown,PA,40.5086643,-75.7832069
LSU Health Scienes Center,New Orleans,LA,29.95738,-90.08279,NA,NA,NA,NA,NA,LSU Health Scienes Center,New Orleans,LA,29.95738,-90.08279
LSU Pennington Biomedical Research Center,Baton Rouge,LA,30.40335,-91.12269,NA,NA,NA,NA,NA,LSU Pennington Biomedical Research Center,Baton Rouge,LA,30.40335,-91.12269
La Jolla Institute for Immunology,La Jolla,CA,32.83878,-117.25324,NA,NA,NA,NA,NA,La Jolla Institute for Immunology,La Jolla,CA,32.83878,-117.25324
Laureate Institute for Brain Research,Tulsa,OK,36.06624,-95.91946,NA,NA,NA,NA,NA,Laureate Institute for Brain Research,Tulsa,OK,36.06624,-95.91946
NA,NA,NA,NA,NA,Lawrence Technological University,Southfield,MI,42.4751256,-83.2507422,Lawrence Technological University,Southfield,MI,42.4751256,-83.2507422
NA,NA,NA,NA,NA,Lehigh Carbon Community College,Schnecksville,PA,40.6649438,-75.612807,Lehigh Carbon Community College,Schnecksville,PA,40.6649438,-75.612807
NA,NA,NA,NA,NA,Lehigh University,Bethlehem,PA,40.6071349,-75.3812638,Lehigh University,Bethlehem,PA,40.6071349,-75.3812638
NA,NA,NA,NA,NA,Lisa Fitzpatrick & Associates MD-PC,Washington,DC,38.9027198,-77.0182321,Lisa Fitzpatrick & Associates MD-PC,Washington,DC,38.9027198,-77.0182321
Loma Linda University,Loma Linda,CA,34.05174,-117.26178,NA,NA,NA,NA,NA,Loma Linda University,Loma Linda,CA,34.05174,-117.26178
NA,NA,NA,NA,NA,Long Island Children's Museum,Garden City,NY,40.7277911,-73.600441,Long Island Children's Museum,Garden City,NY,40.7277911,-73.600441
NA,NA,NA,NA,NA,Los Angeles County Museum of Natural History Foundation,Los Angeles,CA,34.0166822,-118.2898326,Los Angeles County Museum of Natural History Foundation,Los Angeles,CA,34.0166822,-118.2898326
Louisiana State University A&M College Baton Rouge,Baton Rouge,LA,30.40802,-91.18867,Louisiana State University,Baton Rouge,LA,30.413992,-91.1784448,Louisiana State University,Baton Rouge,LA,30.40802,-91.18867
NA,NA,NA,NA,NA,Louisiana Tech University,Ruston,LA,32.531509,-92.6293223,Louisiana Tech University,Ruston,LA,32.531509,-92.6293223
Loyola Marymount University,Los Angeles,CA,33.96968,-118.41614,NA,NA,NA,NA,NA,Loyola Marymount University,Los Angeles,CA,33.96968,-118.41614
NA,NA,NA,NA,NA,"Loyola University Maryland, Inc..",Baltimore,MD,39.3462233,-76.621339,"Loyola University Maryland, Inc.",Baltimore,MD,39.3462233,-76.621339
Loyola University Medical Center,Maywood,IL,41.86516,-87.83338,NA,NA,NA,NA,NA,Loyola University Medical Center,Maywood,IL,41.86516,-87.83338
Loyola University of Chicago,Chicago,IL,41.89738,-87.62424,Loyola University of Chicago,Chicago,IL,41.89738,-87.62424,Loyola University of Chicago,Chicago,IL,41.89738,-87.62424
MGH Institute of Health Professions,Charlestown,MA,42.37496,-71.05421,NA,NA,NA,NA,NA,MGH Institute of Health Professions,Charlestown,MA,42.37496,-71.05421
Magee-Women's Research Institute and Foundation,Pittsburgh,PA,40.43708,-79.96154,NA,NA,NA,NA,NA,Magee-Women's Research Institute and Foundation,Pittsburgh,PA,40.43708,-79.96154
Mainehealth,Portland,ME,43.65316,-70.27547,NA,NA,NA,NA,NA,Mainehealth,Portland,ME,43.65316,-70.27547
NA,NA,NA,NA,NA,Manhattanville College,Purchase,NY,41.0320144,-73.7158605,Manhattanville College,Purchase,NY,41.0320144,-73.7158605
NA,NA,NA,NA,NA,Maricopa County Community College District,Tempe,AZ,33.4129466,-111.9757687,Maricopa County Community College District,Tempe,AZ,33.4129466,-111.9757687
Marquette University,Milwaukee,WI,43.03873,-87.92331,NA,NA,NA,NA,NA,Marquette University,Milwaukee,WI,43.03873,-87.92331
NA,NA,NA,NA,NA,Marymount University,Arlington,VA,38.9053535,-77.1280225,Marymount University,Arlington,VA,38.9053535,-77.1280225
NA,NA,NA,NA,NA,Massachusetts Bay Community College,Wellesley Hills,MA,42.3144996,-71.2669229,Massachusetts Bay Community College,Wellesley Hills,MA,42.3144996,-71.2669229
Massachusetts General Hospital,Boston,MA,42.3632,-71.06877,NA,NA,NA,NA,NA,Massachusetts General Hospital,Boston,MA,42.3632,-71.06877
NA,NA,NA,NA,NA,Massachusetts Institute of Technology,Cambridge,MA,42.359143,-71.0935584,Massachusetts Institute of Technology,Cambridge,MA,42.359143,-71.0935584
NA,NA,NA,NA,NA,Mathematical Sciences Research Institute,Berkeley,CA,37.8798253,-122.2442537,Mathematical Sciences Research Institute,Berkeley,CA,37.8798253,-122.2442537
Mayo Clinic Arizona,Scottsdale,AZ,33.58911,-111.79394,NA,NA,NA,NA,NA,Mayo Clinic Arizona,Scottsdale,AZ,33.58911,-111.79394
Mayo Clinic Jacksonville,Jacksonville,FL,30.2647,-81.44479,NA,NA,NA,NA,NA,Mayo Clinic Jacksonville,Jacksonville,FL,30.2647,-81.44479
Mayo Clinic Rochester,Rochester,MN,44.02432,-92.46011,NA,NA,NA,NA,NA,Mayo Clinic Rochester,Rochester,MN,44.02432,-92.46011
McLean Hospital,Belmont,MA,42.39362,-71.19114,NA,NA,NA,NA,NA,McLean Hospital,Belmont,MA,42.39362,-71.19114
Medgar Evers College,New York,NY,40.66714,-73.95183,NA,NA,NA,NA,NA,Medgar Evers College,New York,NY,40.66714,-73.95183
Medical College of Wisconsin,Milwaukee,WI,43.04575,-88.02037,NA,NA,NA,NA,NA,Medical College of Wisconsin,Milwaukee,WI,43.04575,-88.02037
Medical University of South Carolina,Charleston,SC,32.78675,-79.94726,NA,NA,NA,NA,NA,Medical University of South Carolina,Charleston,SC,32.78675,-79.94726
Meharry Medical College,Nashville,TN,36.1669,-86.80615,NA,NA,NA,NA,NA,Meharry Medical College,Nashville,TN,36.1669,-86.80615
NA,NA,NA,NA,NA,Menlo College,Atherton,CA,37.4560992,-122.1921047,Menlo College,Atherton,CA,37.4560992,-122.1921047
NA,NA,NA,NA,NA,Mercyhurst University,Erie,PA,42.1032921,-80.0531161,Mercyhurst University,Erie,PA,42.1032921,-80.0531161
NA,NA,NA,NA,NA,Metropolitan State University of Denver,Denver,CO,39.7453167,-105.0076645,Metropolitan State University of Denver,Denver,CO,39.7453167,-105.0076645
NA,NA,NA,NA,NA,Miami University,Oxford,OH,39.509463,-84.7344848,Miami University,Oxford,OH,39.509463,-84.7344848
Michigan State University,East Lansing,MI,42.65398,-84.49203,Michigan State University,East Lansing,MI,42.65398,-84.49203,Michigan State University,East Lansing,MI,42.65398,-84.49203
NA,NA,NA,NA,NA,Middle Tennessee State University,Murfreesboro,TN,35.843477,-86.370967,Middle Tennessee State University,Murfreesboro,TN,35.843477,-86.370967
NA,NA,NA,NA,NA,Middlesex Community College,Bedford,MA,42.5249497,-71.2747997,Middlesex Community College,Bedford,MA,42.5249497,-71.2747997
"Migrant Clinicians Network, Inc.",Austin,TX,30.26688,-97.78802,NA,NA,NA,NA,NA,"Migrant Clinicians Network, Inc.",Austin,TX,30.26688,-97.78802
NA,NA,NA,NA,NA,Millersville University,Millersville,PA,39.9970309,-76.3542441,Millersville University,Millersville,PA,39.9970309,-76.3542441
NA,NA,NA,NA,NA,Mississippi State University,Mississippi State,MS,33.458442,-88.7946251,Mississippi State University,Mississippi State,MS,33.458442,-88.7946251
"Missouri Breaks Research, Inc.",Eagle Butte,SD,45.4277,-101.07448,NA,NA,NA,NA,NA,"Missouri Breaks Research, Inc.",Eagle Butte,SD,45.4277,-101.07448
NA,NA,NA,NA,NA,Missouri State University,Springfield,MO,37.2005546,-93.2806806,Missouri State University,Springfield,MO,37.2005546,-93.2806806
NA,NA,NA,NA,NA,Missouri University of Science and Technology,Rolla,MO,37.9530722,-91.7731273,Missouri University of Science and Technology,Rolla,MO,37.9530722,-91.7731273
Moffitt Cancer Center,Tampa,FL,28.06258,-82.4196,NA,NA,NA,NA,NA,Moffitt Cancer Center,Tampa,FL,28.06258,-82.4196
NA,NA,NA,NA,NA,Molloy University,Rockville Centre,NY,40.6862113,-73.6270362,Molloy University,Rockville Centre,NY,40.6862113,-73.6270362
Monell Chemical Senses Center,Philadelphia,PA,39.95574,-75.19306,NA,NA,NA,NA,NA,Monell Chemical Senses Center,Philadelphia,PA,39.95574,-75.19306
Montana State University - Bozeman,Bozeman,MT,45.66196,-111.05994,Montana State University - Bozeman,Bozeman,MT,45.66196,-111.05994,Montana State University - Bozeman,Bozeman,MT,45.66196,-111.05994
Montana State University - Bozeman,Bozeman,MT,45.66196,-111.05994,Montana State University,Bozeman,MT,45.6674929,-111.0492914,Montana State University - Bozeman,Bozeman,MT,45.66196,-111.05994
NA,NA,NA,NA,NA,Montclair State University,Montclair,NJ,40.8597586,-74.1997454,Montclair State University,Montclair,NJ,40.8597586,-74.1997454
Morehouse School of Medicine,Atlanta,GA,33.74661,-84.41478,Morehouse College,Atlanta,GA,33.7462136,-84.4140618,Morehouse College,Atlanta,GA,33.74661,-84.41478
NA,NA,NA,NA,NA,Morgan State University,Baltimore,MD,39.3459931,-76.5820535,Morgan State University,Baltimore,MD,39.3459931,-76.5820535
Mount Desert Island Biological Lab,Salsbury Cove,ME,44.43066,-68.28841,NA,NA,NA,NA,NA,Mount Desert Island Biological Lab,Salsbury Cove,ME,44.43066,-68.28841
NA,NA,NA,NA,NA,Mozilla Foundation,San Francisco,CA,37.786964,-122.3995598,Mozilla Foundation,San Francisco,CA,37.786964,-122.3995598
"My Brother's Keeper, Inc.",Ridgeland,MS,32.41974,-90.12573,NA,NA,NA,NA,NA,"My Brother's Keeper, Inc.",Ridgeland,MS,32.41974,-90.12573
NA,NA,NA,NA,NA,Myvillage Project Inc.,Jacksonville,FL,30.3271736,-81.6567589,MyVillage Project Inc.,Jacksonville,FL,30.3271736,-81.6567589
"NDRI-USA, Inc.",New York,NY,40.74287,-73.99233,NA,NA,NA,NA,NA,"NDRI-USA, Inc.",New York,NY,40.74287,-73.99233
NA,NA,NA,NA,NA,National Academy of Sciences,Washington,DC,38.8930474,-77.047937,National Academy of Sciences,Washington,DC,38.8930474,-77.047937
